name	peak1	peak2	peak3
jaspar_Dll	0.0384435086720153	0.0830839071638646	-0.18641842712203
berkeley_BCD	-0.0902238583095663	-0.118540500499067	-0.0069229862921982
flyfactor_br-pa_sanger_5	0.0210507051827843	0.0246730821468124	0.088256664035524
berkeley_bdtnp_cad	0.0794108729209626	0.108287137196004	-0.193693637603676
repeatMasked_cp190_Modencode_Negre_et_al.0.repeatMasked	0.180041112345469	0.127943161443743	0.242279728323834
idmmpmm2009_FBgn0000411_idmmpmm2009_0	-0.163257955661983	-0.0365103234669654	-0.340212579797353
repeatMasked_dfd_Modencode_Boyle_et_al.1.repeatMasked	-0.088381302225063	-0.0798991330226945	0.123187985679093
repeatMasked_disco_Modencode_Negre_et_al.3.repeatMasked	-0.156574584530896	-0.305770029776234	0.201303333643297
OnTheFly_FBgn0000567_OnTheFly_4	-0.153689754025357	-0.0333790325620911	-0.351889172002997
idmmpmm2009_FBgn0000577_idmmpmm2009_0	0.139571381078944	0.166527966058444	-0.0899663274124271
jaspar_eve	0.13990645140145	0.158222814522381	-0.281049395190242
jaspar_exd	-0.161005589772893	-0.0407686887393473	-0.205075938924962
berkeley_bdtnp_ftz	0.00489828902748448	0.0807295005031306	-0.298873963206246
flyfactor_gsb-n_solexa_5	-0.0329124024797787	-0.0115267443362264	-0.144707252619765
berkeley_GT	-0.0423769685444263	-0.0725781355983308	0.061192407012621
jaspar_h	-0.275211704890858	-0.192964914687498	-0.186275100203421
berkeley_HB	0.105956526594617	0.0432586029278272	-0.011327509464643
flyfactor_hth_solexa	-0.0315166978506594	0.0901563289816312	-0.32746978143922
OnTheFly_FBgn0001269_OnTheFly_0	0.0603207761796394	0.117000295021029	-0.0727345826689357
repeatMasked_kni_Modencode_Negre_et_al.3.repeatMasked	0.0500256582951692	-0.119700759162002	0.396209293164219
berkeley_KR	-0.17417968044059	-0.260563311098803	-0.0844554839057391
fly_factor_survey_FBgn0002521_fly_factor_survey_1	-0.293668283952777	-0.225700530473377	-0.0570805213475253
flyfactor_sens_sanger_10	-0.0514628185858182	0.0327069243689509	-0.26811664787681
jaspar_pnr	-0.102546999485982	-0.0965945735328777	0.244236005318074
fly_factor_survey_FBgn0003145_fly_factor_survey_1	-0.0411514741271203	0.0186522324544372	-0.0862034166653436
berkeley_bdtnp_run	0.0600221977631897	0.137497737266976	-0.0945883950377895
flyfactor_shn-f1-2_solexa	-0.0811007136756948	-0.0150796847448998	-0.350227979037571
flyfactor_slp1_nar	0.242102138636495	0.114912505759396	0.24667934618468
berkeley_bdtnp_sna	0.295445265418517	0.067854268647733	-0.162191449487343
jaspar_SU_HW_	0.137121046325321	0.143734444419369	0.172568411257642
flyfactor_ttk-pa_sanger_5	-0.730931569658278	-0.596500438074103	-0.42461610762309
berkeley_bdtnp_twi	0.0921279706911467	0.350271177814699	-0.270779096786875
flyfactor_ubx_flyreg	-0.0171751137010043	0.0589902297347661	-0.14823964691559
repeatMasked_usp_Modencode_Boyle_et_al.0.repeatMasked	0.312061342418744	0.124611446710126	0.301473041956521
flyfactor_tin_optimized_furlong	0.122582428199747	0.375362393382066	-0.422348060060616
flyfactor_fru_sanger_10	0.0449323859096017	-0.00104790570129123	0.0317117026288313
JASPAR_CORE_2014_insects_FBgn0004837_JASPAR_CORE_2014_insects_0	-0.0128468525580019	-0.0103538814198104	-0.326953678891075
jaspar_bap	0.0534742732902225	0.137782563188362	-0.128049396883277
OnTheFly_FBgn0004870_OnTheFly_0	0.0839335829494805	0.0434560761924607	0.0855355972216944
flyfactor_lola-pd_solexa	0.27386846061986	0.0338828674120628	0.553891831782828
flyfactor_pmad_furlong	0.140482088648431	0.106894357452077	0.149894361578994
fly_factor_survey_FBgn0011655_fly_factor_survey_0	0.112466076275504	0.120501303451707	-0.0534385057986317
flyfactor_mef2_optimized_furlong	0.154003863824937	0.150307632424078	0.0866367792352788
jaspar_Trl	0.0248134342208142	-0.269330205577769	0.513040619847492
repeatMasked_hr78_Modencode_Negre_et_al.4.repeatMasked	-0.0234231976607228	-0.00628821898626298	0.0795959002141528
repeatMasked_jumu_Modencode_Negre_et_al.0.repeatMasked	-0.083643165165744	-0.094260829470612	0.261563773659673
repeatMasked_beaf32_Modencode_Negre_et_al.6.repeatMasked	-0.0576682011945997	-0.0538936491052018	0.252179726777159
repeatMasked_stat92e_Modencode_Boyle_et_al.1.repeatMasked	0.0346633836348355	-0.204656462813462	0.533487515494021
repeatMasked_sin3a_Modencode_Boyle_et_al.5.repeatMasked	0.0133904357211622	0.0176041778304759	0.219846873059877
repeatMasked_ctcf_Modencode_Negre_et_al.1.repeatMasked	0.201337693261751	0.077030986935592	0.300205929469531
flyfactor_doc2_sanger_5	0.0865575103118875	0.0665166693845087	-0.123437939066399
flyfactor_phol_sanger_5	-0.225393655901774	-0.159201362222633	-0.131561426829715
repeatMasked_fer3_Modencode_Negre_et_al.3.repeatMasked	-0.0448666034040991	-0.048970136379076	0.263039461331285
flyfactor_gatae_sanger_5	0.355322721571655	0.281315381247213	0.597224752230985
OnTheFly_FBgn0039039_OnTheFly_0	-0.134471204459292	-0.278673931217535	0.442831785958016
flyfactor_bin_optimized_furlong	0.32052068191679	0.14039907744773	0.342191106764182
flyfactor_dtcf_furlong	0.00295245339906775	0.0171559125398518	-0.374375028220498
flyfactor_chinmo_solexa	0.138545739815316	0.235019676001392	-0.208174189930177
flyfactor_vfl_sanger_5	0.158356835976428	0.138261888120903	-0.381911910099958
idmmpmm2009_FBgn0260632_idmmpmm2009_0	-0.176680017877218	-0.178527766664528	-0.343628567244157
flyfactor_hr39_sanger_5	0.102946563800369	0.154935183442113	-0.0367349083090729
berkeley_bdtnp_hkb	-0.123237277888731	-0.0576854860052028	-0.14117133177138
repeatMasked_cnc_Modencode_Boyle_et_al.1.repeatMasked	0.0538635617966461	0.00293103039738555	0.00417348962099277
fly_factor_survey_FBgn0266129_fly_factor_survey_0	0.0972189347343581	0.194389033787559	0.0716416816243528
OnTheFly_FBgn0267821_OnTheFly_0	0.179886781605936	0.00753057860669743	-0.0466086583529142
